ASSET,BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NIMY,NONII,NONIX,NUMEMP,ORE,ROA,ROE,SC,SCMUNI,SCUS,TRADE
664987,10492,17524,575764,575764,3317,0,44409,768,2573,8378,620578,4414,4868,4858,74157,8565,0,506841,501973,10676,408938,15813,51148,27467,186895,127615,1250,3.2607067441736852,925,4498,103,0,0.7564296520423601,11.32,114090,26679,87411,0
204470,3236,36473,179953,179953,394,75,20059,0,0,2966,184411,1557,2201,15216,12891,20274,0,123452,121251,1813,86917,4843,12863,1116,40093,28002,986,5.592170526413058,475,1669,53,0,1.9905469209358195,20.04,37383,13822,19820,0
1216288,11181,84869,1043545,1043545,5546,75,75456,195,28,11031,1140832,0,8089,90536,81149,95928,0,711043,702954,3176,530669,0,32909,28123,153813,315824,1548,1.9745788720060695,2153,5656,152,0,0.5263697024591547,8.12,371959,43102,285888,0
415754,7784,64020,311273,311273,1452,422,65687,0,38432,4573,350067,15550,5137,848,14620,3813,0,218222,213085,0,184241,10470,2799,2447,21481,147044,-1547,3.6186765916495647,17193,21950,641,0,-1.4937190417797175,-9.31,74060,14690,59370,0
540158,10008,20396,492123,492123,1839,21,43847,0,0,6307,496311,1061,4391,38234,60733,43816,0,384281,379890,25643,252511,6194,48219,25879,85735,86484,1087,3.5942004502805958,1700,3852,100,0,0.8147089823164305,10.05,108525,28449,73566,0
1326906,19435,26517,1119549,1119549,5737,-1,140654,0,35466,15260,1186252,12819,15643,6455,107798,15626,0,996292,980649,12089,847376,49399,37819,39426,307636,413096,2866,3.1464115528117564,3747,9731,237,510,0.8601853630426431,8.18,212454,9761,179794,0
1120957,10637,43418,917082,917082,4178,0,120421,9102,23610,12578,1000536,1458,8866,58436,54864,106086,0,708685,699819,252,545978,5805,41024,85272,298177,115700,2947,3.2800199925028113,2456,7332,213,0,1.0530951868332727,9.89,290568,123355,129546,0
394163,9975,8322,358725,358725,2279,105,28596,0,0,5344,365567,19960,3573,13845,30508,20466,0,282158,278585,0,211073,6380,30024,16033,76537,82099,829,3.355672550954355,604,2717,75,0,0.850843273950494,11.52,85400,64636,20014,0
139234,351,9754,127686,127686,549,0,10949,0,2165,1347,128285,7406,817,3461,4625,4462,0,58701,57884,895,40194,20081,732,0,2313,17068,363,2.4698044738124896,64,499,13,0,1.0536016195859608,13.16,64995,32478,32517,0
139186,1587,11465,122656,122656,466,24,9954,253,0,1656,129232,35190,1333,742,7332,1451,0,86504,85171,0,42530,29456,0,0,1907,11167,387,3.5982507663291416,39,782,20,0,1.0990064215200792,15.42,35859,458,35242,0
1306570,15627,46577,948232,948232,5390,0,330614,0,0,10377,975956,0,1043,1171,71868,5207,0,108513,107470,0,30215,0,0,5338,23639,1238,14554,1.5779286166862707,130,2402,42,0,4.475478886849936,18,1120136,85848,63,0
361721,3046,41976,311729,311729,785,0,47715,0,204,4908,314006,13264,3509,1723,75520,8111,0,218842,215333,0,121772,25940,17421,0,48588,29823,1798,4.8426832670200115,424,2749,76,0,1.9716128324800735,15.24,87364,19006,68358,0
77163,700,10331,67103,67103,277,3,1783,0,0,780,75380,906,359,2884,6805,4082,0,26884,26525,1141,13572,1368,1699,0,2506,7999,171,2.7495165797762944,89,412,11,0,0.8891257579992071,34.75,38529,16375,8888,0
71441,61,18770,63060,63060,288,8,8018,2533,0,832,63423,7821,460,4226,3141,6607,0,23771,23311,0,6184,3177,0,0,2754,253,299,3.309581207175829,44,281,7,0,1.7345273920452486,15.06,26271,2033,24238,0
60815,152,6788,54325,54325,190,9,6399,201,0,1091,54416,20123,368,3433,3942,10431,0,43666,43298,0,9048,2387,0,0,881,5780,464,6.366310136812076,90,518,18,0,3.109685094119914,29.62,9451,919,8532,0
8443997,123149,54812,6670686,6670686,59895,809,819334,0,19938,124087,7624663,114517,99038,346838,1310429,554354,0,6272101,6173063,134637,3915684,356202,662644,418342,2094112,384384,27224,3.2442024606829913,31460,58936,988,0,1.2963655194581016,13.61,1792905,2492,243917,0
200958,910,8299,184634,184634,673,0,15558,0,1344,2754,185400,7583,1163,2782,26320,4939,0,123747,122584,0,84449,21984,3624,2581,24075,32185,893,4.260731807816631,153,1253,32,149,1.7527890298567887,21.57,63129,27587,34682,0
67807,600,1776,55532,55532,145,0,6237,35,0,658,61570,9216,365,522,8120,683,0,28149,27784,0,10002,3719,0,0,3449,2834,123,3.1292890474883337,66,496,15,0,0.7033344054894393,7.96,35780,11613,24167,0
733793,9631,46927,651131,651131,2188,0,76287,3306,3203,8248,657506,35049,7262,12197,41845,18408,0,484309,477047,22787,366150,117996,8673,3471,93747,142263,2160,3.5073833748002317,1196,4661,144,0,1.1756045723398205,11.32,174664,79667,92815,0
121324,207,13022,101402,101402,929,101,11600,0,0,2087,109724,18204,2224,259,18227,1059,0,101717,99493,0,61223,17236,592,3060,32978,7357,545,3.9628355833889435,44,556,13,0,1.7683035641861748,18.83,4709,2801,1908,0
389502,5149,16801,352289,352289,1055,90,22280,10912,80,3454,367222,325,2663,91,10328,298,0,211549,208886,7943,192768,6463,8638,7423,29639,140605,189,2.6349028523729503,387,2529,62,0,0.19577123768337368,3.37,134799,17292,117507,0
742440,6435,13337,593776,593776,5056,-150,72599,0,1527,8797,669841,532,8066,600,35391,5837,0,650287,642221,87,607633,0,60908,153285,282732,110708,602,2.1065315993817237,528,3730,94,0,0.32267271633343025,3.49,58282,37863,20090,0
37093,1123,13037,33807,33807,75,30,3207,0,0,398,33886,895,357,1401,2567,2518,0,20767,20410,213,14574,3560,0,0,1167,9847,53,3.7362637362637363,26,266,8,215,0.5682808165015882,6.67,1825,1583,245,0
65794,41,1772,50008,50008,270,0,1391,0,0,670,64403,8987,684,959,3392,1557,0,34590,33906,0,19412,5385,245,0,1019,12763,58,2.5198636123819798,100,432,12,0,0.3453871462387042,14.86,27785,27785,0,0
374110,11863,29885,339096,339096,1517,0,32508,0,0,4445,341602,259,3252,1641,4829,2591,0,274261,271009,0,266566,4826,34636,19438,124367,83299,240,3.347404703858147,270,2917,57,649,0.2535761501065152,2.97,51047,4389,46658,0
132397,3134,18041,122017,122017,94,0,7835,3800,0,1331,124562,2613,449,5758,2775,8330,0,43916,43467,0,30186,943,1999,0,5669,21575,531,3.890395880017298,293,999,27,0,1.582618025751073,26.05,62803,3442,11070,0
35416,103,6445,31897,31897,93,0,3420,0,0,313,31996,2492,467,708,1488,1381,0,15202,14735,365,9473,3645,506,0,876,4446,51,2.6285526531953343,15,173,5,0,0.581967563866661,6,13537,3229,10324,0
110424,145,1476,82222,82222,462,0,27768,3000,452,1227,82656,7602,2446,1008,2810,1466,0,42403,39957,300,30225,16603,0,0,7658,5964,493,2.844593181342815,47,292,9,59,1.7789083889242205,7.07,63963,61990,1973,0
1058165,8856,56024,774236,774236,9152,0,100872,5000,6866,13504,957293,80006,12158,3478,98906,20020,18047,729938,717780,2932,509505,125369,52431,9800,283670,38235,1226,1.803572436879368,1979,4742,106,0,0.48111472633902014,5.02,191994,72820,72848,40270
523327,8193,30914,461565,461565,2758,150,51867,0,0,6803,471460,2390,4761,468,78649,2426,0,377442,372681,0,290479,26267,35398,12956,124177,91681,1352,3.2666344983252946,525,2666,63,0,1.0287686164698095,10.47,94964,28297,58823,0
