BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NONII,NONIX,NUMEMP,ORE,SC,SCMUNI,SCUS,TRADE,ROA,ROE,NIMY
0.0246440861,0.0987281560,0.9107909948,0.9107909948,0.0045543486,0.0009952095,0.0825742752,0.0000000000,0.0000000000,0.0156759553,0.9174257248,0.0023615141,0.0076524301,0.0230641207,0.0708791580,0.0677642084,0.0000000000,0.7900501541,0.7823977240,0.0005622653,0.6482749702,0.0479218676,0.0665216022,0.0002642647,0.1157704159,0.4177968198,0.0028731754,0.0010064548,0.0073769201,0.0001967928,0.0000843398,0.0733587477,0.0000000000,0.0733587477,0.0000000000,1.1878886499680363,14.07,4.934544932923369
0.0093958719,0.2856463371,0.8843952313,0.8843952313,0.0011646428,0.0004029664,0.1067273958,0.0000000000,0.0027783717,0.0139086296,0.8932726042,0.0001896038,0.0073796423,0.0091033136,0.0290937076,0.0321623083,0.0000000000,0.3982262957,0.3908466534,0.0011222498,0.3313711432,0.0024094129,0.0855532589,0.0076498394,0.1167512430,0.1190073890,0.0073409762,0.0035144260,0.0065098871,0.0001923990,0.0002180211,0.2974064338,0.0149372421,0.2607993828,0.0000000000,2.8795791187570554,28.3,5.252990763676864
0.0136949378,0.0554693273,0.8470870461,0.8470870461,0.0040610870,0.0002021559,0.0558511773,0.1144000126,0.0000000000,0.0141059881,0.9441488227,0.0018014335,0.0112376208,0.0029379988,0.0445641407,0.0141913428,0.0000000000,0.6302524028,0.6190147821,0.0000000000,0.5685162432,0.0266261756,0.0923021287,0.0321045999,0.2094851539,0.2079981851,0.0069339467,0.0018575879,0.0047663864,0.0001190474,0.0000000000,0.1906240103,0.0417025119,0.1402714729,0.0000000000,2.9147802112200627,47.3,4.566981804070149
0.0109981612,0.1429067064,0.8745272872,0.8745272872,0.0060541928,0.0000520418,0.0542448739,0.0000000000,0.0000000000,0.0132012629,0.9457551261,0.0000000000,0.0034347570,0.0000346945,0.0000000000,0.0049960101,0.0000000000,0.5727197030,0.5692849461,0.0256912882,0.5427089477,0.0125247198,0.0282413350,0.0000000000,0.0092807827,0.4926621101,-0.0031398536,0.0001734726,0.0104083544,0.0002428616,0.0000000000,0.2624986990,0.1139541339,0.1484404816,0.0000000000,-1.255625601581672,-22.43,2.9964998409018593
0.0036350474,0.0694432678,0.8929047263,0.8929047263,0.0030959514,0.0000000000,0.0906913521,0.0000000000,0.0222954708,0.0095342981,0.9093086479,0.0044436914,0.0074780318,0.0083174813,0.0345637558,0.0335394734,0.0000000000,0.2943849300,0.2869068981,0.0000000000,0.2217532943,0.0357266629,0.0202777115,0.0000000000,0.0425500782,0.1231988417,0.0011552057,0.0005930056,0.0058915493,0.0001463261,0.0000000000,0.5547297974,0.3123137231,0.2253806403,0.0000000000,0.4684608718056824,4.99,2.887874639987219
0.0060087866,0.0137354136,0.8729334136,0.8729334136,0.0020614085,0.0003581880,0.0891327708,0.0003825545,0.0063547913,0.0116252720,0.9108672292,0.0859212620,0.0111233215,0.0011744668,0.0774270892,0.0019273926,0.0000000000,0.6100063597,0.5988830382,0.0045151182,0.4402154976,0.0863817894,0.0335283468,0.0119103604,0.2610532677,0.0473417333,0.0050341253,0.0012426931,0.0054142432,0.0001486358,0.0000000000,0.3303809220,0.1823250057,0.1437844634,0.0000000000,1.9926048896460016,22.82,4.099200655872105
0.0055139105,0.0158038604,0.7953648270,0.7953648270,0.0053763982,0.0003018564,0.0687259982,0.0055508041,0.0000000000,0.0111552716,0.9312740018,0.0202176720,0.0086398014,0.0063155070,0.0102966578,0.0110714226,0.0000000000,0.7439486173,0.7353088159,0.0146534521,0.6876658114,0.0817494256,0.0211534269,0.0757089433,0.3586758565,0.1503781590,0.0005332797,0.0007848267,0.0057553957,0.0001274505,0.0000000000,0.1985209036,0.0807096980,0.1042947460,0.0000000000,0.2148303903934335,3.09,2.464998417350842
0.0049056837,0.0362851429,0.8625756601,0.8625756601,0.0053832125,0.0000687219,0.0869402032,0.0003013189,0.0000000000,0.0126113426,0.9130597968,0.0535061365,0.0067435529,0.0025673783,0.0296244086,0.0066924520,0.0000000000,0.5398084598,0.5330649069,0.0021374261,0.4478304156,0.0940256033,0.0239574982,0.0182870636,0.0484489123,0.2631113382,0.0036704522,0.0008017551,0.0034308068,0.0000863429,0.0000000000,0.3677764954,0.2569439917,0.0057814469,0.0000000000,1.4736209122583612,17.36,3.134165710798335
0.0163883457,0.0345859648,0.7831156961,0.7831156961,0.0068250436,0.0001498363,0.0835524689,0.0020452655,0.0000000000,0.0118220844,0.9164475311,0.0605451045,0.0060870998,0.0131893406,0.0537762494,0.0280418643,0.0000000000,0.4871889960,0.4811018962,0.0000000000,0.3446609579,0.1228170723,0.0162310176,0.0000000000,0.0852156519,0.1203972160,0.0007903865,0.0008091160,0.0047947617,0.0000861559,0.0000000000,0.4312288824,0.1987953161,0.0764165150,0.0000000000,0.31640883470450076,3.8,2.1505679699984483
0.0147613841,0.0498748046,0.8094724610,0.8094724610,0.0066381836,0.0003222072,0.1006066803,0.0018766777,0.0039624321,0.0126799258,0.8993933197,0.1935634465,0.0098094180,0.0046848921,0.1692332257,0.0142522968,0.0000000000,0.8952790923,0.8854696742,0.0027358968,0.5006526485,0.1624368026,0.0469069186,0.0387600896,0.1760525613,0.0764962764,0.0027903140,0.0015952835,0.0044020658,0.0000766137,0.0000000000,0.0284136596,0.0064742159,0.0217962405,0.0000000000,1.1300544982338367,11.2,2.575109588262469
0.0047490006,0.0221250730,0.8555207881,0.8555207881,0.0035033611,0.0000000000,0.0743580914,0.0302846107,0.0118245924,0.0105040947,0.9256419086,0.0534157771,0.0072911832,0.0050304673,0.1131585645,0.0084559759,0.0000000000,0.4853233123,0.4780321291,0.0024044436,0.3072836974,0.1063584507,0.0000000000,0.0007485814,0.1448025991,0.0553740661,0.0033087300,0.0007186382,0.0042818858,0.0001077957,0.0000000000,0.4356115162,0.3680924648,0.0669980387,0.0000000000,1.3205205001844844,17.44,2.957724652027743
