month,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_A,line_B,line_C,line_D,line_E,line_F,line_G,line_JZ,line_L,line_M,line_N,line_Q,line_R,line_S 42nd,line_S Fkln,line_S Rock
2015-01,0.762337806,0.472874494,0.686321563,0.484323757,0.49345247299999995,0.518463811,0.859844181,0.6764023469999999,0.767961165,0.83975,0.7605900149999999,0.6907778059999999,0.579040181,0.699329096,0.803453343,0.928731648,0.7076199440000001,0.6847309370000001,0.698765894,0.618342152,0.9795504479999999,0.9927782500000001,0.9538415720000001
2015-02,0.70719198,0.370276224,0.58739765,0.42507985,0.403272845,0.40028222,0.772320287,0.629842181,0.684210526,0.785,0.6723286589999999,0.691826411,0.530877428,0.695401229,0.722125939,0.864387165,0.657696874,0.614166996,0.674592258,0.577732266,0.9961579700000001,0.991525424,0.941784038
2015-03,0.7488165979999999,0.43504783,0.636897208,0.398464586,0.38852344299999997,0.402662094,0.8067938990000001,0.655597015,0.796685083,0.800227273,0.769894701,0.713184538,0.573254438,0.632857377,0.8032021349999999,0.919460088,0.674128503,0.721462748,0.7594635890000001,0.5781049939999999,0.9951843490000001,0.990755008,0.953796271
2015-04,0.774265002,0.466402041,0.670346062,0.438242574,0.441489362,0.416993144,0.797186489,0.7125154890000001,0.815092674,0.8584883990000001,0.7840714040000001,0.7164213429999999,0.622852042,0.648767034,0.7952650880000001,0.924017791,0.7257347919999999,0.730023801,0.782926001,0.6016325220000001,0.992621359,0.9984544049999999,0.961081081
2015-05,0.786623851,0.443007276,0.670879842,0.41616766499999996,0.402022947,0.499821588,0.8327258000000001,0.6734970819999999,0.771359223,0.79425,0.751179913,0.6678047549999999,0.59442804,0.66767803,0.7214888159999999,0.952670387,0.6793233080000001,0.648496241,0.68422889,0.553169014,0.9703608250000001,1.0,0.944811038
2015-06,0.8068284819999999,0.42669007899999994,0.6866933009999999,0.431144964,0.403638908,0.474181411,0.844374033,0.6728219110000001,0.769196823,0.7959090910000001,0.7340772529999999,0.720777727,0.601026988,0.630656934,0.677935054,0.9052845150000001,0.699931647,0.6440533150000001,0.706501443,0.5561779769999999,0.978554779,0.998844376,0.9600108079999999
2015-07,0.7342931939999999,0.41391254099999997,0.656611822,0.427511133,0.38697372100000005,0.49951012400000006,0.838170301,0.6485172579999999,0.7579435130000001,0.7743181819999999,0.728115345,0.685602576,0.570763723,0.644548994,0.742096506,0.904832438,0.698906357,0.679954991,0.697216565,0.598591549,0.994484152,0.9965331279999999,0.952162162
2015-08,0.799303577,0.40532680200000004,0.641746609,0.444703747,0.347768449,0.5603868870000001,0.881494634,0.6756686569999999,0.7827092,0.845,0.746435101,0.716369335,0.5764514510000001,0.669498726,0.770477518,0.930585683,0.6901181529999999,0.668277837,0.754935088,0.636820926,0.9938487890000001,0.996368039,0.956694028
2015-09,0.786689239,0.453736382,0.665051579,0.43847619000000004,0.38141307500000005,0.45014925400000005,0.8141633880000001,0.621793275,0.8122977349999999,0.7290476189999999,0.741459907,0.649927746,0.567341329,0.6756397470000001,0.701882845,0.9472003010000001,0.740780523,0.665771572,0.7813333330000001,0.6296109990000001,0.9923521279999999,0.9987893459999999,0.963289698
2015-10,0.724325413,0.4106408,0.616199284,0.412754114,0.360399662,0.376959504,0.8609310549999999,0.625135168,0.80494263,0.737964237,0.733607964,0.638799448,0.536157518,0.653634004,0.660898502,0.8991853360000001,0.6900205060000001,0.670710868,0.7394772570000001,0.5873879639999999,0.981511691,0.98844376,0.963195202
