timestamp,demo_api_http_requests_in_progress,demo_disk_usage_bytes,methodGET_status200,methodGET_status404,node_load1,node_load15,node_load5,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,request_rate_total
1785174400,0,1.18664e+11,177.533,4.20702,0.18,0.36,0.35,8.86743e+07,6.4988e+09,7.17046e+09,211.028
1785174700,1,1.18809e+11,150.674,3.24211,0.42,0.35,0.34,8.86743e+07,6.49959e+09,7.1716e+09,176.814
1785175000,0,1.18954e+11,127.221,2.55439,0.37,0.3,0.28,8.86743e+07,6.50052e+09,7.16499e+09,149.2
1785175300,2,1.19103e+11,117.407,2.22456,0.21,0.27,0.25,8.86743e+07,6.50551e+09,7.17558e+09,136.305
1785175600,0,1.19251e+11,112.498,2.1193,1.09,0.46,0.72,8.86743e+07,6.50644e+09,7.17827e+09,130.755
1785175900,1,1.19403e+11,112.004,2.14737,0.68,0.59,0.84,8.86743e+07,6.50723e+09,7.17807e+09,130.877
1785176200,0,1.19552e+11,121.551,2.33333,0.18,0.5,0.46,8.86743e+07,6.50802e+09,7.17998e+09,141.393
1785176500,0,1.19704e+11,137.516,2.81052,0.26,0.46,0.41,8.86743e+07,6.50895e+09,7.17777e+09,160.484
1785176800,1,1.19856e+11,160.046,3.67018,0.16,0.42,0.34,8.86743e+07,6.50974e+09,7.17809e+09,190.081
1785177100,1,1.20007e+11,186.386,4.61404,0.96,0.51,0.64,8.86743e+07,6.51053e+09,7.17496e+09,221.102
1785177400,2,1.20154e+11,199.066,5.1228,0.24,0.47,0.45,8.86743e+07,6.51145e+09,7.17271e+09,237.512
1785177700,2,1.2031e+11,194.804,4.97193,0.6,0.46,0.46,8.86743e+07,6.51223e+09,7.17576e+09,232.754
1785178000,0,1.20466e+11,176.572,4.21054,0.25,0.37,0.29,8.86743e+07,6.51301e+09,7.17038e+09,209.239
1785178300,1,1.20614e+11,151.158,3.23859,0.17,0.36,0.32,8.86743e+07,6.51394e+09,7.17598e+09,177.88
1785178600,0,1.20763e+11,128.744,2.54737,0.28,0.33,0.28,8.86743e+07,6.51475e+09,7.17017e+09,150.281
1785178900,0,1.20916e+11,115.014,2.22106,0.06,0.27,0.19,8.86743e+07,6.48208e+09,7.17371e+09,134.028
1785179200,2,1.21065e+11,112.923,2.1193,0.12,0.24,0.16,8.86743e+07,6.48306e+09,7.1773e+09,131.572
1785179500,0,1.21211e+11,113.807,2.14737,0.18,0.21,0.16,8.86743e+07,6.48404e+09,7.16727e+09,132.126
1785179800,0,1.21361e+11,118.965,2.33333,0.14,0.19,0.16,8.86743e+07,6.48515e+09,7.17996e+09,138.909
1785180100,1,1.21512e+11,137.842,2.81053,0.14,0.18,0.19,8.86743e+07,6.48613e+09,7.17719e+09,161.54
1785180400,2,1.21661e+11,162.765,3.67018,0.3,0.19,0.23,8.86743e+07,6.48711e+09,7.16979e+09,191.944
1785180700,2,1.2181e+11,184.214,4.61754,0.2,0.23,0.29,8.86743e+07,6.48808e+09,7.17566e+09,219.144
1785181000,1,1.21961e+11,198.74,5.12281,0.37,0.25,0.29,8.86743e+07,6.48899e+09,7.16845e+09,238.26
1785181300,1,1.2211e+11,195.375,4.97192,0.86,0.34,0.5,8.86743e+07,6.4899e+09,7.17485e+09,232.249
1785181600,0,1.22261e+11,177.112,4.21404,0.16,0.32,0.35,8.86743e+07,6.49098e+09,7.17387e+09,210.653
1785181900,0,1.2241e+11,148.734,3.24211,0.41,0.34,0.39,8.86743e+07,6.49177e+09,7.16134e+09,175.253
1785182200,1,1.22563e+11,129.256,2.55439,0.27,0.27,0.22,8.86743e+07,6.49255e+09,7.18021e+09,150.688
1785182500,1,1.22717e+11,117.039,2.22456,0.58,0.3,0.33,8.86743e+07,6.49752e+09,7.18176e+09,136.228
1785182800,0,1.22871e+11,110.94,2.1193,0.4,0.32,0.38,8.86743e+07,6.49844e+09,7.18519e+09,129.263
1785183100,1,1.23017e+11,114.298,2.15087,0.17,0.31,0.3,8.86743e+07,6.49922e+09,7.18026e+09,132.558
1785183400,2,1.23167e+11,121.007,2.33684,0.17,0.26,0.21,8.86743e+07,6.49999e+09,7.17853e+09,141.207
1785183700,1,1.23316e+11,135.407,2.82105,0.91,0.36,0.51,8.86743e+07,6.50078e+09,7.1837e+09,158.652
1785184000,0,1.23463e+11,163.435,3.66315,0.47,0.36,0.44,8.86743e+07,6.50155e+09,7.18184e+09,192.487
1785184300,3,1.23611e+11,185.246,4.61755,0.39,0.35,0.36,8.86743e+07,6.50246e+09,7.17038e+09,221.032
1785184600,2,1.2376e+11,198.484,5.12281,0.52,0.36,0.4,8.86743e+07,6.50325e+09,7.17828e+09,236.796
1785184900,0,1.23908e+11,194.231,4.96842,0.21,0.36,0.37,8.86743e+07,6.50403e+09,7.17293e+09,231.793
1785185200,2,1.24062e+11,177.453,4.21053,0.72,0.41,0.51,8.86743e+07,6.50481e+09,7.17099e+09,210.625
1785185500,0,1.24209e+11,151.207,3.24211,0.7,0.46,0.6,8.86743e+07,6.50573e+09,7.1669e+09,177.169
1785185800,0,1.24356e+11,126.379,2.55087,0.21,0.41,0.39,8.86743e+07,6.50651e+09,7.17356e+09,148.498
1785186100,1,1.24509e+11,117.495,2.22106,0.18,0.33,0.25,8.86743e+07,6.51004e+09,7.16427e+09,136.267
1785186400,0,1.24661e+11,112.8,2.1228,0.22,0.33,0.27,8.86743e+07,6.51082e+09,7.17465e+09,130.975
1785186700,0,1.24811e+11,112.154,2.14386,0.47,0.29,0.26,8.86743e+07,6.51174e+09,7.16353e+09,130.898
1785187000,1,1.24963e+11,121.59,2.34035,0.19,0.27,0.25,8.86743e+07,6.51253e+09,7.16807e+09,141.372
1785187300,1,1.2511e+11,137.232,2.81755,0.39,0.37,0.48,8.86743e+07,6.51331e+09,7.16963e+09,160.369
1785187600,1,1.25257e+11,161.656,3.66667,0.22,0.35,0.35,8.86743e+07,6.5141e+09,7.1706e+09,191.688
1785187900,3,1.2541e+11,186.393,4.62105,0.29,0.31,0.28,8.86743e+07,6.51503e+09,7.1677e+09,221.214
1785188200,2,1.25561e+11,198.277,5.12632,0.23,0.27,0.24,8.86743e+07,6.51584e+09,7.16921e+09,236.927
1785188500,0,1.25712e+11,195.597,4.97544,0.31,0.32,0.35,8.86743e+07,6.51698e+09,7.16545e+09,233.565
1785188800,1,1.2586e+11,174.512,4.20702,0.28,0.33,0.34,8.86743e+07,6.51817e+09,7.1678e+09,207.333
1785189100,3,1.26008e+11,151.021,3.24211,0.16,0.29,0.25,8.86743e+07,6.51936e+09,7.16831e+09,177.765
1785189400,1,1.26153e+11,129.123,2.55088,0.33,0.3,0.33,8.86743e+07,6.52048e+09,7.1697e+09,150.509
1785189700,0,1.26302e+11,114.944,2.22456,0.23,0.28,0.29,8.86743e+07,6.52567e+09,7.17489e+09,133.891
1785190000,1,1.26454e+11,113.07,2.11579,0.43,0.27,0.27,8.86743e+07,6.52665e+09,7.18108e+09,131.516
1785190300,2,1.26602e+11,114.098,2.14385,0.1,0.23,0.18,8.86743e+07,6.52764e+09,7.17838e+09,132.368
1785190600,0,1.26752e+11,119.158,2.33333,0.66,0.29,0.35,8.86743e+07,6.52876e+09,7.17724e+09,139.193
1785190900,1,1.26904e+11,137.983,2.81053,0.29,0.27,0.29,8.86743e+07,6.52975e+09,7.17081e+09,161.467
1785191200,1,1.27053e+11,162.541,3.67018,0.63,0.27,0.31,8.86743e+07,6.53073e+09,7.17616e+09,191.804
