Average ⬆️,IFEval Raw,IFEval,BBH Raw,BBH,MATH Lvl 5 Raw,MATH Lvl 5,GPQA Raw,GPQA,MUSR Raw,MUSR,MMLU-PRO Raw,MMLU-PRO,#Params (B),CO₂ cost (kg)
8.90636130175029,0.3302792147058693,33.02792147058693,0.3596254301656297,10.055525080241035,0.014350453172205438,1.4350453172205437,0.25922818791946306,1.230425055928408,0.381375,5.871874999999999,0.1163563829787234,1.8173758865248217,7.242,1.219174164123715
25.64649419429311,0.2841172533322695,28.411725333226947,0.5976391706360018,42.74936268839652,0.15332326283987915,15.332326283987916,0.36577181208053694,15.436241610738257,0.4236041666666667,11.217187500000003,0.4665890957446808,40.732121749408975,34.389,22.7033978747449
26.727912908508134,0.3118691737922047,31.186917379220468,0.6015685776542417,43.38184666762572,0.1540785498489426,15.407854984894259,0.36325503355704697,15.100671140939594,0.4398229166666667,14.07786458333333,0.4709109042553192,41.21232269503546,34.389,23.15462857509891
33.35799367075618,0.6066758423205982,60.66758423205982,0.6083748310271819,44.262825981005655,0.277190332326284,27.719033232628398,0.3649328859060403,15.324384787472036,0.4281979166666667,13.058072916666665,0.45204454787234044,39.11606087470449,34.389,22.423843867327744
29.403554842710225,0.456449997118756,45.6449997118756,0.6100218256499571,44.53615654671034,0.21374622356495468,21.37462235649547,0.33808724832214765,11.74496644295302,0.43976041666666665,13.736718750000001,0.45445478723404253,39.383865248226954,34.389,6.774022458148835
16.745698054972127,0.26166017278598563,26.166017278598567,0.44925820198929056,22.027904536694773,0.06646525679758308,6.646525679758309,0.313758389261745,8.501118568232664,0.43740625,13.309114583333335,0.31441156914893614,23.823507683215126,6.061,1.8442095716487765
22.784006289829847,0.5145270105542183,51.452701055421834,0.4571311331954389,23.67872313235784,0.1623867069486405,16.238670694864048,0.30201342281879195,6.935123042505594,0.43917708333333333,14.030468750000002,0.3193151595744681,24.368351063829788,6.061,1.4447911071090622
22.153901514184795,0.29358435617494916,29.358435617494916,0.514294179104191,30.50071699492122,0.11404833836858005,11.404833836858005,0.37919463087248323,17.225950782997764,0.43278124999999995,12.030989583333332,0.3916223404255319,32.402482269503544,8.829,1.4688920320817076
19.809786285875365,0.23031113002389217,23.031113002389215,0.496332115988265,28.937011582169664,0.10800604229607251,10.80060422960725,0.35906040268456374,14.541387024608499,0.4186145833333333,10.82682291666667,0.37649601063829785,30.721778959810877,8.829,1.5680734132696938
29.530872220260978,0.6045525871354672,60.455258713546726,0.555906430281685,36.95293138417893,0.2258308157099698,22.58308157099698,0.3347315436241611,11.297539149888143,0.42590625,12.838281249999996,0.39752327127659576,33.05814125295508,8.829,1.453543490910605
23.76539234993476,0.4214040966856829,42.14040966856828,0.5153383364651778,31.497608947018318,0.1782477341389728,17.82477341389728,0.3087248322147651,7.829977628635347,0.40990624999999997,10.03828125,0.39935172872340424,33.261303191489354,8.829,1.5847450134017533
22.373127018936653,0.3045751938190667,30.45751938190668,0.5457099951794562,35.542431259008794,0.0513595166163142,5.13595166163142,0.36661073825503354,15.548098434004473,0.4118541666666667,9.648437500000004,0.441156914893617,37.90632387706855,34.389,25.657483288779545
20.01347533597433,0.15424850507763843,15.424850507763843,0.5441817925289527,36.02211028900003,0.05740181268882175,5.740181268882175,0.3565436241610738,14.205816554809845,0.38171874999999994,9.414843749999998,0.45345744680851063,39.273049645390074,34.389,25.50385584712952
24.226662652803373,0.4698887839820565,46.98887839820566,0.5560872910766164,37.623987597243485,0.06268882175226587,6.268882175226587,0.33808724832214765,11.74496644295302,0.39784375,8.363802083333338,0.4093251329787234,34.369459219858165,34.389,25.125695689981566
13.611617485376058,0.28933784580468713,28.93378458046871,0.4309230591000865,19.408504737915056,0.015861027190332326,1.5861027190332326,0.26929530201342283,2.572706935123044,0.39368749999999997,7.044270833333335,0.29911901595744683,22.12433510638298,6.061,1.0985492537000408
11.996098298832841,0.08433068702154728,8.433068702154728,0.42892948109603307,20.148020103768047,0.01812688821752266,1.812688821752266,0.28187919463087246,4.250559284116329,0.45873958333333337,16.842447916666668,0.2844082446808511,20.489804964539008,6.061,1.1264239806184515
14.11765000523676,0.33952135888331847,33.95213588833185,0.41326019207548687,17.00016656742376,0.013595166163141994,1.3595166163141994,0.29446308724832215,5.92841163310962,0.36879166666666663,3.5656250000000003,0.3061003989361702,22.90004432624113,6.061,1.1106656722436012
17.811867367746064,0.2708779372066118,27.08779372066118,0.49396075125308075,27.626956112077934,0.055891238670694864,5.589123867069486,0.3179530201342282,9.060402684563762,0.40540624999999997,8.909114583333334,0.35738031914893614,28.59781323877068,8.829,1.530663961417017
17.72955178611439,0.23270921155866434,23.270921155866432,0.4793302602023641,26.49249509714754,0.06646525679758308,6.646525679758309,0.31543624161073824,8.7248322147651,0.42940625,12.109114583333332,0.36220079787234044,29.1334219858156,8.829,1.5489823437933046
16.985989314863886,0.4817041006750976,48.17041006750976,0.48142000339111674,25.94315294491389,0.04003021148036254,4.003021148036254,0.24748322147651006,0.0,0.3991770833333333,7.963802083333333,0.24251994680851063,15.83554964539007,8.829,1.8195322295921676
36.266177006668904,0.582570911847232,58.2570911847232,0.6523901531956199,49.32988995210337,0.3330815709969788,33.30815709969788,0.3624161073825503,14.988814317673373,0.4489375,14.350520833333334,0.5262632978723404,47.362588652482266,14.77,3.8660742873468124
31.020777275634742,0.30774677854758703,30.774677854758707,0.6284322714967584,46.54015554088327,0.311178247734139,31.1178247734139,0.3699664429530201,15.99552572706935,0.4490625,15.432812499999995,0.516373005319149,46.263667257683224,14.77,5.400465469071647
27.48785095027712,0.00816832670647216,0.816832670647216,0.6710015642760666,52.46181381023763,0.23338368580060423,23.338368580060422,0.3976510067114094,19.686800894854585,0.4913541666666667,21.519270833333326,0.523936170212766,47.10401891252955,14.66,1.65964205977959
41.91906679224076,0.7762104549262623,77.62104549262622,0.653271132679638,49.77664782103219,0.5438066465256798,54.38066465256798,0.35067114093959734,13.422818791946312,0.41,9.883333333333335,0.5178690159574468,46.429890661938536,14.77,3.370181942335884
29.097407726236643,0.5181740005407873,51.81740005407873,0.6102361685099691,43.807147003691966,0.12462235649546828,12.462235649546828,0.35067114093959734,13.422818791946312,0.45820833333333333,17.209374999999998,0.42278922872340424,35.865469858156025,68.977,12.19797195382831
19.144808610895357,0.36070404305021786,36.07040430502179,0.5052203113352468,30.24383447882599,0.05740181268882175,5.740181268882175,0.28523489932885904,4.697986577181204,0.4375,13.554166666666669,0.3210605053191489,24.562278368794324,7.294,1.9052644538640493
19.144808610895357,0.36070404305021786,36.07040430502179,0.5052203113352468,30.24383447882599,0.05740181268882175,5.740181268882175,0.28523489932885904,4.697986577181204,0.4375,13.554166666666669,0.3210605053191489,24.562278368794324,7.294,1.2487688271364052
21.09120798437004,0.42625012743963797,42.625012743963794,0.5041306326216103,29.19930078641656,0.10347432024169184,10.347432024169184,0.27432885906040266,3.243847874720355,0.3959479166666666,11.693489583333331,0.36494348404255317,29.43816489361702,8.03,1.4193565486098367
